MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.56, 0.38, 0.51,-999.00,-999.00, 0.38,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.42, 0.19
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.10, 1.02, 0.76, 0.55, 0.90,-999.00, 0.71, 0.43
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.66, 0.54, 0.69, 0.90, 0.82,-999.00, 0.69, 0.28
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.03, 1.01
CSIRO-Mk3L-1-2, 0.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.31,-999.00,-999.00,-999.00,-999.00, 0.33, 0.12
FGOALS-s2, 1.15,-999.00,-999.00, 2.02, 1.83,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 1.38,-999.00,-999.00, 0.93, 0.89,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.24, 0.13, 0.15, 0.09,-999.00, 0.26, 0.09
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.50, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00, 0.46
HadGEM2-ES,-999.00, 0.42,-999.00, 0.31, 0.38,-999.00, 0.27, 0.54
HadGEM3-GC31, 0.87, 0.85,-999.00,-999.00,-999.00, 0.43,-999.00,-999.00
IPSL-CM5A-LR, 0.47, 0.32, 0.82, 0.32, 0.23,-999.00, 0.50, 0.35
IPSL-CM6A-LR, 0.95, 0.86,-999.00, 1.90, 0.73, 0.64,-999.00,-999.00
KCM1-2-2, 0.97, 0.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.22, 0.16, 0.30,-999.00,-999.00,-999.00, 0.18, 0.17
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.57, 0.44, 0.62, 0.77, 1.41,-999.00,-999.00,-999.00
MRI-CGCM3, 0.36, 0.45, 0.33, 0.79, 0.77,-999.00, 0.26, 0.70
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
