MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.30, 0.33, 0.38,-999.00,-999.00, 0.33,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.32, 0.62
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.38, 0.37, 0.34, 0.40, 0.38,-999.00, 0.34, 0.54
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.31, 0.30, 0.34, 0.28, 0.33,-999.00, 0.30, 0.49
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.32, 0.54
CSIRO-Mk3L-1-2, 0.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.27,-999.00,-999.00,-999.00,-999.00, 0.29, 0.47
FGOALS-s2, 0.30,-999.00,-999.00, 0.37, 0.52,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.40,-999.00,-999.00, 0.36, 0.38,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.28, 0.23, 0.39, 0.29,-999.00, 0.28, 0.40
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.35, 0.33,-999.00,-999.00,-999.00,-999.00,-999.00, 0.36
HadGEM2-ES,-999.00, 0.34,-999.00, 0.49, 0.45,-999.00, 0.34, 0.37
HadGEM3-GC31, 0.37, 0.39,-999.00,-999.00,-999.00, 0.33,-999.00,-999.00
IPSL-CM5A-LR, 0.35, 0.36, 0.27, 0.34, 0.34,-999.00, 0.36, 0.45
IPSL-CM6A-LR, 0.34, 0.35,-999.00, 0.42, 0.41, 0.37,-999.00,-999.00
KCM1-2-2, 0.43, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.25, 0.22, 0.34,-999.00,-999.00,-999.00, 0.20, 0.33
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.34, 0.34, 0.45, 0.40, 0.35,-999.00,-999.00,-999.00
MRI-CGCM3, 0.26, 0.25, 0.29, 0.23, 0.24,-999.00, 0.24, 0.29
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
