MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.03, 0.02, 0.02,-999.00,-999.00, 0.02,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.05, 0.14
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.02, 0.01, 0.01, 0.01, 0.01,-999.00, 0.01, 0.30
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.11, 0.11, 0.11, 0.07, 0.05,-999.00, 0.05, 0.12
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.02, 0.10
CSIRO-Mk3L-1-2, 0.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.03,-999.00,-999.00,-999.00,-999.00, 0.01, 0.01
FGOALS-s2, 0.08,-999.00,-999.00, 0.06, 0.05,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.05,-999.00,-999.00, 0.03, 0.03,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.08, 0.05, 0.04, 0.05,-999.00, 0.07, 0.04
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.07, 0.05,-999.00,-999.00,-999.00,-999.00,-999.00, 0.04
HadGEM2-ES,-999.00, 0.06,-999.00, 0.03, 0.02,-999.00, 0.04, 0.05
HadGEM3-GC31, 0.03, 0.06,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00
IPSL-CM5A-LR, 0.05, 0.05, 0.02, 0.10, 0.07,-999.00, 0.07, 0.15
IPSL-CM6A-LR, 0.07, 0.07,-999.00, 0.07, 0.06, 0.06,-999.00,-999.00
KCM1-2-2, 0.04, 0.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.19, 0.09, 0.02,-999.00,-999.00,-999.00, 0.02, 0.03
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.02, 0.02, 0.02, 0.02, 0.02,-999.00,-999.00,-999.00
MRI-CGCM3, 0.07, 0.08, 0.06, 0.04, 0.08,-999.00, 0.07, 0.08
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
